Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1676162918.425	  1476.360	0	230	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr4
5	:	1676162918.433	  1541.608	0	230	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr5
6	:	1676162918.443	  1545.189	0	230	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr6
3	:	1676162918.414	  1647.816	0	240	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr3
2	:	1676162918.405	  2165.753	0	290	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr2
1	:	1676162918.388	  2277.213	0	300	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr1
9	:	1676164463.638	  1109.591	0	200	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr9
8	:	1676164460.060	  1199.659	0	210	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr8
10	:	1676164566.241	  1261.264	0	210	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr10
7	:	1676164394.832	  1448.921	0	230	0	0	Rscript 1-fit-DSS-models.R --idir ../DataDerived/ControlLOAD//Inputs/ --odir ../DataDerived/ControlLOAD//test-diagnostic-group-coded//Outputs/ --baseline_covariates=bmi,sex,age_at_visit,PC1,PC2 --test_covariate diagnostic_group_coded --chr chr7
