Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1671628789.015	  1964.176	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr4
5	:	1671628789.019	  2012.577	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr5
6	:	1671628789.024	  2017.574	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr6
3	:	1671628789.010	  2233.845	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr3
2	:	1671628789.005	  3008.591	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr2
1	:	1671628789.001	  3099.287	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr1
9	:	1671630806.605	  1799.013	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr9
8	:	1671630801.601	  2102.312	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr8
10	:	1671631022.875	  1992.844	0	145	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr10
7	:	1671630753.240	  2497.367	0	144	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr7
11	:	1671631797.612	  2021.683	0	145	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr11
12	:	1671631888.297	  2029.617	0	145	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr12
13	:	1671632605.625	  1357.188	0	145	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr13
15	:	1671633015.793	  1345.259	0	145	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr15
14	:	1671632905.104	  1497.964	0	145	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr14
16	:	1671633251.009	  1519.283	0	149	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr16
21	:	1671634403.074	   599.881	0	148	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr21
18	:	1671633917.919	  1105.513	0	149	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr18
22	:	1671634770.297	   884.019	0	149	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr22
20	:	1671634361.059	  1349.415	0	149	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr20
17	:	1671633819.301	  1960.340	0	149	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr17
19	:	1671633963.223	  1851.500	0	149	0	0	Rscript 0-prepare-DSS-inputs.R --idir ../../dataDerived/methylBedImputed-controlLOAD/ --chr chr19
