Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1667838304.518	  2578.257	0	495	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr1 --test_covariate p_tau_abeta42_bin
6	:	1667838304.540	  2609.936	0	485	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr2 --test_covariate p_tau_bin
1	:	1667838304.510	  2616.677	0	495	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr1 --test_covariate a_beta_42_40_bin
3	:	1667838304.524	  2751.238	0	495	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr1 --test_covariate p_tau_bin
5	:	1667838304.535	  2763.707	0	485	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr2 --test_covariate p_tau_abeta42_bin
4	:	1667838304.530	  2795.608	0	485	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr2 --test_covariate a_beta_42_40_bin
7	:	1667840882.794	  1907.259	0	432	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr3 --test_covariate a_beta_42_40_bin
10	:	1667841055.768	  1772.589	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr4 --test_covariate a_beta_42_40_bin
12	:	1667841100.146	  1806.440	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr4 --test_covariate p_tau_bin
11	:	1667841068.250	  1859.852	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr4 --test_covariate p_tau_abeta42_bin
9	:	1667840921.194	  2028.578	0	432	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr3 --test_covariate p_tau_bin
8	:	1667840914.485	  2068.242	0	432	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr3 --test_covariate p_tau_abeta42_bin
14	:	1667842828.369	  1923.309	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr5 --test_covariate p_tau_abeta42_bin
15	:	1667842906.591	  2020.996	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr5 --test_covariate p_tau_bin
16	:	1667842928.111	  2125.039	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr6 --test_covariate a_beta_42_40_bin
13	:	1667842790.062	  2266.875	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr5 --test_covariate a_beta_42_40_bin
18	:	1667842982.732	  2165.936	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr6 --test_covariate p_tau_bin
17	:	1667842949.778	  2236.027	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr6 --test_covariate p_tau_abeta42_bin
21	:	1667845053.159	  1944.279	0	422	0	0	Rscript 1-fitModels.R --idir ../../dataDerived/analysis-controlLOAD/ --chr chr7 --test_covariate p_tau_bin
