Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1661891024.147	     0.014	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr1
2	:	1661891024.162	     0.042	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr2
3	:	1661891024.204	     0.055	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr3
4	:	1661891024.245	     0.015	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr4
5	:	1661891024.259	     0.047	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr5
6	:	1661891024.307	     0.021	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr6
7	:	1661891024.328	     0.055	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr7
8	:	1661891024.384	     0.034	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr8
9	:	1661891024.419	     0.045	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr9
10	:	1661891024.464	     0.089	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr10
11	:	1661891024.554	     0.044	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr11
12	:	1661891024.584	     0.015	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr12
13	:	1661891024.598	     0.027	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr13
14	:	1661891024.626	     0.116	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr14
15	:	1661891024.741	     0.111	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr15
16	:	1661891024.853	     0.035	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr16
17	:	1661891024.888	     0.042	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr17
18	:	1661891024.930	     0.069	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr18
19	:	1661891024.999	     0.069	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr19
20	:	1661891025.068	     0.132	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr20
21	:	1661891025.187	     0.016	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr21
22	:	1661891025.200	     0.050	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chr22
23	:	1661891025.251	     0.027	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chrX
24	:	1661891025.278	     0.049	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/100.bed ../dataDerived/methylBedByChrom/ chrY
25	:	1661891025.312	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr1
26	:	1661891025.328	     0.026	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr2
27	:	1661891025.353	     0.048	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr3
28	:	1661891025.387	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr4
29	:	1661891025.401	     0.116	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr5
30	:	1661891025.517	     0.029	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr6
31	:	1661891025.532	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr7
32	:	1661891025.547	     0.042	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr8
33	:	1661891025.590	     0.032	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr9
34	:	1661891025.623	     0.041	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr10
35	:	1661891025.663	     0.032	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr11
36	:	1661891025.681	     0.016	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr12
37	:	1661891025.696	     0.046	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr13
38	:	1661891025.742	     0.030	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr14
39	:	1661891025.773	     0.025	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr15
40	:	1661891025.797	     0.034	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr16
41	:	1661891025.815	     0.079	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr17
42	:	1661891025.830	     0.108	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr18
43	:	1661891025.895	     0.046	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr19
44	:	1661891025.938	     0.048	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr20
45	:	1661891025.986	     0.082	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr21
46	:	1661891026.055	     0.014	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chr22
47	:	1661891026.068	     0.034	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chrX
48	:	1661891026.103	     0.052	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/101.bed ../dataDerived/methylBedByChrom/ chrY
49	:	1661891026.155	     0.033	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr1
50	:	1661891026.189	     0.062	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr2
51	:	1661891026.236	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr3
52	:	1661891026.250	     0.150	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr4
53	:	1661891026.399	     0.029	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr5
54	:	1661891026.414	     0.082	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr6
55	:	1661891026.429	     0.070	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr7
56	:	1661891026.497	     0.263	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr8
57	:	1661891026.759	     0.112	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr9
58	:	1661891026.859	     0.075	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr10
59	:	1661891026.871	     0.121	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr11
60	:	1661891026.934	     0.108	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr12
61	:	1661891026.993	     0.109	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr13
62	:	1661891027.042	     0.062	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr14
63	:	1661891027.102	     0.144	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr15
64	:	1661891027.247	     0.039	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr16
65	:	1661891027.285	     0.028	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr17
66	:	1661891027.314	     0.040	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr18
67	:	1661891027.354	     0.033	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr19
68	:	1661891027.388	     0.059	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr20
69	:	1661891027.446	     0.023	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr21
70	:	1661891027.469	     0.034	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chr22
71	:	1661891027.488	     0.017	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chrX
72	:	1661891027.503	     0.168	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/104.bed ../dataDerived/methylBedByChrom/ chrY
73	:	1661891027.671	     0.059	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr1
74	:	1661891027.717	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr2
75	:	1661891027.731	     0.067	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr3
76	:	1661891027.797	     0.031	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr4
77	:	1661891027.817	     0.031	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr5
78	:	1661891027.828	     0.042	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr6
79	:	1661891027.848	     0.055	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr7
80	:	1661891027.870	     0.034	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr8
81	:	1661891027.902	     0.024	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr9
82	:	1661891027.926	     0.035	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr10
83	:	1661891027.961	     0.033	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr11
84	:	1661891027.980	     0.016	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr12
85	:	1661891027.995	     0.023	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr13
86	:	1661891028.018	     0.030	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr14
87	:	1661891028.047	     0.071	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr15
88	:	1661891028.118	     0.037	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr16
89	:	1661891028.156	     0.027	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr17
90	:	1661891028.182	     0.032	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr18
91	:	1661891028.201	     0.015	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr19
92	:	1661891028.215	     0.040	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr20
93	:	1661891028.254	     0.047	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr21
94	:	1661891028.301	     0.027	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chr22
95	:	1661891028.329	     0.033	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chrX
96	:	1661891028.347	     0.017	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/105.bed ../dataDerived/methylBedByChrom/ chrY
97	:	1661891028.362	     0.061	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr1
98	:	1661891028.422	     0.049	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr2
99	:	1661891028.458	     0.015	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr3
100	:	1661891028.471	     0.048	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr4
101	:	1661891028.519	     0.044	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr5
102	:	1661891028.552	     0.043	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr6
103	:	1661891028.564	     0.032	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr7
104	:	1661891028.595	     0.033	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr8
105	:	1661891028.628	     0.037	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr9
106	:	1661891028.652	     0.055	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr10
107	:	1661891028.666	     0.042	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr11
108	:	1661891028.706	     0.036	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr12
109	:	1661891028.730	     0.055	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr13
110	:	1661891028.742	     0.046	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr14
111	:	1661891028.786	     0.049	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr15
112	:	1661891028.836	     0.029	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr16
113	:	1661891028.855	     0.049	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr17
114	:	1661891028.866	     0.194	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr18
115	:	1661891028.904	     0.157	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr19
116	:	1661891029.060	     0.059	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr20
117	:	1661891029.119	     0.025	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr21
118	:	1661891029.144	     0.043	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chr22
119	:	1661891029.188	     0.041	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chrX
120	:	1661891029.214	     0.089	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/106.bed ../dataDerived/methylBedByChrom/ chrY
121	:	1661891029.229	     0.076	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr1
122	:	1661891029.304	     0.035	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr2
123	:	1661891029.339	     0.030	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr3
124	:	1661891029.355	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr4
125	:	1661891029.370	     0.044	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr5
126	:	1661891029.414	     0.040	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr6
127	:	1661891029.454	     0.062	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr7
128	:	1661891029.503	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr8
129	:	1661891029.517	     0.026	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr9
130	:	1661891029.543	     0.071	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr10
131	:	1661891029.598	     0.056	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr11
132	:	1661891029.614	     0.042	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr12
133	:	1661891029.655	     0.062	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr13
134	:	1661891029.717	     0.065	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr14
135	:	1661891029.764	     0.019	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr15
136	:	1661891029.782	     0.099	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr16
137	:	1661891029.881	     0.033	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr17
138	:	1661891029.902	     0.015	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr18
139	:	1661891029.915	     0.048	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr19
140	:	1661891029.962	     0.118	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr20
141	:	1661891030.029	     0.052	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr21
142	:	1661891030.045	     0.089	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chr22
143	:	1661891030.061	     0.074	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chrX
144	:	1661891030.079	     0.178	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/107.bed ../dataDerived/methylBedByChrom/ chrY
145	:	1661891030.257	     0.045	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr1
146	:	1661891030.287	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr2
147	:	1661891030.302	     0.036	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr3
148	:	1661891030.338	     0.029	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr4
149	:	1661891030.368	     0.024	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr5
150	:	1661891030.392	     0.025	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr6
151	:	1661891030.416	     0.111	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr7
152	:	1661891030.509	     0.019	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr8
153	:	1661891030.527	     0.032	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr9
154	:	1661891030.559	     0.042	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr10
155	:	1661891030.584	     0.018	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr11
156	:	1661891030.601	     0.030	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr12
157	:	1661891030.631	     0.029	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr13
158	:	1661891030.661	     0.026	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr14
159	:	1661891030.687	     0.047	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr15
160	:	1661891030.716	     0.020	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr16
161	:	1661891030.734	     0.054	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr17
162	:	1661891030.769	     0.046	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr18
163	:	1661891030.787	     0.088	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr19
164	:	1661891030.816	     0.062	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr20
165	:	1661891030.876	     0.021	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr21
166	:	1661891030.896	     0.048	0	62	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chr22
167	:	1661891030.943	     0.037	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chrX
168	:	1661891030.981	     0.059	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/108.bed ../dataDerived/methylBedByChrom/ chrY
169	:	1661891031.039	     0.043	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr1
170	:	1661891031.069	     0.016	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr2
171	:	1661891031.083	     0.055	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr3
172	:	1661891031.137	     0.152	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr4
173	:	1661891031.289	     0.065	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr5
174	:	1661891031.337	     0.018	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr6
175	:	1661891031.353	     0.078	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr7
176	:	1661891031.430	     0.082	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr8
177	:	1661891031.512	     0.072	0	61	0	0	split_wrapper ../dataDerived/methylBedBySample/109.bed ../dataDerived/methylBedByChrom/ chr9
